rating,peer.rank,condition,gender,age,ingroup.value,ingroup.like,ingroup.connected,outgroup.value,outgroup.like,outgroup.connected,ingroup.average,outgroup.average,peer.rank2
0.38,49,buddhist,2,54,51.13,53.58,55.09,2.08,0,1.13,6.533333333,-97.86,-2
0.38,4,buddhist,2,57,69.25,81.32,93.77,24.15,41.89,16.6,62.89333333,-44.90666667,-92
0.38,30,buddhist,2,29,100,100,100,21.51,4.91,0,100,-82.38666667,-40
0.38,30,buddhist,1,24,41.89,45.85,16.6,50,42.45,17.74,-30.44,-26.54,-40
0.38,50,buddhist,2,45,50,57.92,53.21,50,32.08,16.79,7.42,-34.08666667,0
0.38,13,buddhist,2,22,55.66,52.83,51.89,61.32,43.4,44.34,6.92,-0.626666667,-74
0.38,50,buddhist,2,27,91.51,72.83,73.21,53.96,5.85,0.38,58.36666667,-59.87333333,0
0.38,21,buddhist,2,22,53.96,48.11,54.72,55.28,51.32,53.4,4.526666667,6.666666667,-58
0.38,23,buddhist,2,20,34.34,14.34,29.25,30.38,30,38.49,-48.04666667,-34.08666667,-54
0.38,29,buddhist,1,24,81.13,72.83,67.36,29.43,37.36,10.94,47.54666667,-48.18,-42
0.56,32,buddhist,1,21,80.98,77.78,76.46,44.26,11.49,1.13,56.81333333,-62.08,-36
0.69,50,buddhist,2,24,96.72,95.69,48.79,39.31,34.66,29.31,60.8,-31.14666667,0
0.75,50,buddhist,2,23,76.04,75.66,73.4,26.79,7.74,0.19,50.06666667,-76.85333333,0
1.13,50,buddhist,1,32,62.64,43.4,43.4,62.64,20.94,24.15,-0.373333333,-28.18,0
1.32,50,buddhist,2,29,51.79,52.73,52.54,25.42,22.03,0,4.706666667,-68.36666667,0
1.51,51,buddhist,1,22,71.51,69.81,33.21,58.68,34.15,25.47,16.35333333,-21.13333333,2
1.51,16,neutral,2,20,59.06,77.92,58.11,33.4,18.68,1.7,30.06,-64.14666667,-68
2.37,25,buddhist,2,45,37.97,28.7,32.77,34.58,34.88,22.98,-33.70666667,-38.37333333,-50
2.64,49,buddhist,1,36,81.7,63.4,100,0,0,0,63.4,-100,-2
3.4,50,buddhist,2,36,90.38,90.75,66.6,46.98,0,0,65.15333333,-68.68,0
3.77,61,buddhist,1,31,72.83,45.09,29.25,7.36,0,15.66,-1.886666667,-84.65333333,22
4.15,0,buddhist,2,21,60.19,52.83,60.57,21.7,23.4,8.68,15.72666667,-64.14666667,-100
5.66,49,buddhist,2,32,78.3,77.55,68.68,64.15,17.74,10.19,49.68666667,-38.61333333,-2
6.97,25,ingroup,2,26,71.75,72.88,44.07,3.39,0,0.38,25.8,-97.48666667,-50
6.97,13,buddhist,1,26,70.24,74.39,72.88,30.32,38.98,42.56,45.00666667,-25.42666667,-74
7.55,40,ingroup,1,29,75.09,66.42,61.32,40.57,33.4,13.02,35.22,-42.00666667,-20
7.92,50,buddhist,1,21,71.32,56.6,50.38,63.96,47.36,51.32,18.86666667,8.426666667,0
8.1,55,neutral,1,45,61.7,63.02,61.51,54.72,51.7,43.96,24.15333333,0.253333333,10
8.1,45,ingroup,1,30,31.45,32.77,32.58,50.09,50.09,50.09,-35.46666667,0.18,-10
8.3,51,outgroup,1,26,54.53,53.21,52.83,50,45.28,47.92,7.046666667,-4.533333333,2
8.68,50,buddhist,1,26,54.34,60.19,60,60,9.62,0,16.35333333,-53.58666667,0
9.81,45,buddhist,1,21,48.49,58.3,56.23,16.42,6.42,9.81,8.68,-78.23333333,-10
10.19,25,buddhist,1,32,66.79,74.53,76.42,23.77,15.66,12.08,45.16,-65.66,-50
10.57,40,neutral,2,23,95.85,97.17,67.55,73.21,60.38,38.49,73.71333333,14.72,-20
10.94,50,ingroup,1,31,50.75,53.77,50,49.43,45.09,42.45,3.013333333,-8.686666667,0
11.32,30,buddhist,2,20,95.85,84.91,100,9.81,10.57,0,87.17333333,-86.41333333,-40
11.32,19,buddhist,2,30,53.02,53.02,24.91,0,0,0,-12.7,-100,-62
11.32,50,buddhist,2,29,66.23,57.17,40.38,25.85,11.51,3.4,9.186666667,-72.82666667,0
13.21,45,buddhist,1,31,11.51,13.4,14.15,0,0,0,-73.96,-100,-10
13.96,66,ingroup,2,50,87.74,81.51,63.58,30.94,30.94,30.94,55.22,-38.12,32
13.96,80,buddhist,2,20,59.62,66.23,78.49,10.57,3.21,4.15,36.22666667,-88.04666667,60
13.96,49,ingroup,2,39,52.83,37.92,36.79,62.45,59.43,56.42,-14.97333333,18.86666667,-2
14.41,21,neutral,2,28,66.96,41.69,62.08,68.29,31.26,59.42,13.82,5.98,-58
15.47,29,ingroup,1,24,35.28,27.92,32.26,34.15,23.21,16.23,-36.36,-50.94,-42
15.85,22,buddhist,2,23,82.08,83.77,80.38,16.23,16.23,15.09,64.15333333,-68.3,-56
16.88,79,outgroup,1,26,94.16,92.21,89.61,19.48,39.29,26.62,83.98666667,-43.07333333,58
16.98,42,ingroup,1,33,84.15,90.94,84.72,57.55,73.96,59.62,73.20666667,27.42,-16
18.11,41,ingroup,2,31,73.4,76.98,78.68,34.34,15.85,16.79,52.70666667,-55.34666667,-18
18.87,10,ingroup,1,42,32.26,49.81,34.91,48.87,50.38,50,-22.01333333,-0.5,-80
19.22,40,buddhist,1,38,81.88,83.82,84.47,54.05,58.25,56.63,66.78,12.62,-20
19.25,66,buddhist,2,23,55.66,51.51,58.49,50,40.19,28.49,10.44,-20.88,32
19.25,30,buddhist,2,19,66.98,56.23,51.13,63.77,44.15,22.64,16.22666667,-12.96,-40
19.4,20,buddhist,2,28,91.34,92.09,93.03,0,0,0,84.30666667,-100,-60
19.4,50,neutral,1,28,41.43,61.21,62.15,39.55,22.41,1.32,9.86,-57.81333333,0
19.62,97,buddhist,1,25,77.74,66.6,68.49,62.45,50,19.62,41.88666667,-11.95333333,94
19.62,49,ingroup,2,57,64.72,65.28,67.17,50.75,21.51,6.79,31.44666667,-47.3,-2
19.73,35,ingroup,2,48,57.21,64.97,62.75,24.83,40.8,40.13,23.28666667,-29.49333333,-30
19.77,41,buddhist,2,29,89.08,94.16,79.1,0,0,0.19,74.89333333,-99.87333333,-18
19.77,43,outgroup,1,62,50.09,9.79,43.5,0.38,0.19,0.75,-31.08,-99.12,-14
19.77,20,outgroup,2,22,50.09,61.77,61.39,37.1,7.16,3.58,15.5,-68.10666667,-60
20,40,neutral,1,43,69.62,25.66,70.57,0,0,0,10.56666667,-100,-20
20,19,buddhist,2,23,100,100,100,52.64,16.6,0,100,-53.84,-62
20,61,neutral,1,28,66.98,70,72.83,74.53,73.4,41.89,39.87333333,26.54666667,22
20.15,49,ingroup,1,35,0.75,0.75,1.69,77.78,3.95,0,-97.87333333,-45.51333333,-2
20.38,49,outgroup,2,37,71.32,23.21,62.26,63.77,2.64,3.21,4.526666667,-53.58666667,-2
20.38,22,buddhist,2,31,90,93.96,96.04,14.15,11.89,8.68,86.66666667,-76.85333333,-56
20.75,34,ingroup,2,43,56.23,87.17,89.62,49.06,5.85,0.19,55.34666667,-63.26666667,-32
20.75,59,ingroup,1,31,56.04,62.83,54.53,0,0,0,15.6,-100,18
20.75,30,neutral,1,52,62.26,57.74,45.28,27.92,15.85,0.94,10.18666667,-70.19333333,-40
20.75,50,buddhist,1,36,55.09,55.66,56.98,50,50,29.06,11.82,-13.96,0
20.75,55,buddhist,2,30,46.04,42.26,36.98,40.38,35.47,25.28,-16.48,-32.58,10
20.75,50,neutral,1,36,59.43,59.43,50,55.85,53.4,32.26,12.57333333,-5.66,0
20.9,50,buddhist,2,29,61.58,71.56,76.27,54.24,31.07,36.91,39.60666667,-18.52,0
21.13,19,buddhist,2,23,71.89,78.3,82.83,50,50,23.4,55.34666667,-17.73333333,-62
21.13,61,ingroup,2,39,68.49,77.74,100,46.79,39.81,17.17,64.15333333,-30.82,22
21.51,34,neutral,2,41,63.4,63.58,57.17,50,50.19,48.49,22.76666667,-0.88,-32
21.51,51,buddhist,2,41,50,50,50,50,50,50,0,0,2
22.03,61,buddhist,2,37,70.43,67.98,73.63,17.7,33.71,17.33,41.36,-54.17333333,22
22.87,18,ingroup,1,30,50,50,50,50.77,50.58,50,0,0.9,-64
23.16,50,buddhist,2,20,65.73,50.09,37.66,44.82,25.99,0,2.32,-52.79333333,0
23.77,16,neutral,2,22,50,50,50,50,50,50,0,0,-68
26.42,50,outgroup,1,27,55.28,58.68,38.3,56.6,60.38,54.34,1.506666667,14.21333333,0
27.55,48,ingroup,1,19,63.21,60,55.47,56.23,54.53,40.94,19.12,1.133333333,-4
29.06,50,outgroup,1,27,60.19,38.68,34.15,22.26,26.23,24.91,-11.32,-51.06666667,0
29.43,44,ingroup,1,41,62.83,61.7,51.7,41.13,45.66,41.51,17.48666667,-14.46666667,-12
30.19,49,buddhist,2,34,60.57,66.98,53.4,62.45,43.4,32.45,20.63333333,-7.8,-2
30.57,50,buddhist,1,32,50,25.09,25.47,0,0,0,-32.96,-100,0
30.94,50,neutral,2,19,56.42,56.98,72.26,0,0,21.7,23.77333333,-85.53333333,0
30.94,58,ingroup,1,22,70.38,77.36,78.87,61.51,63.4,61.13,51.07333333,24.02666667,16
31.32,32,ingroup,1,20,71.32,62.45,23.02,47.17,1.89,4.91,4.526666667,-64.02,-36
32.08,11,buddhist,2,35,53.21,51.13,66.98,41.89,16.42,20.75,14.21333333,-47.29333333,-78
32.45,34,neutral,1,23,68.68,61.89,47.55,25.66,15.09,19.81,18.74666667,-59.62666667,-32
32.83,45,ingroup,1,39,100,59.81,66.04,100,56.98,55.28,50.56666667,41.50666667,-10
33.04,54,ingroup,2,51,0,0,83.15,63.19,30.6,29.71,-44.56666667,-17.66666667,8
34.46,37,buddhist,2,20,69.87,39.17,65.16,21.28,11.68,23.54,16.13333333,-62.33333333,-26
35.09,74,neutral,1,19,67.55,67.74,66.98,50,10.94,11.51,34.84666667,-51.7,48
35.47,42,buddhist,2,34,55.85,55.47,57.17,43.02,44.15,45.66,12.32666667,-11.44666667,-16
35.85,33,buddhist,2,31,74.72,69.43,63.58,62.83,27.36,0.38,38.48666667,-39.62,-34
36.23,20,outgroup,1,24,50,50,50,29.62,33.4,34.53,0,-34.96666667,-60
36.35,29,neutral,2,22,43.69,36.35,31.83,16.38,0,0,-25.42,-89.08,-42
36.98,71,neutral,1,26,55.85,60.38,53.77,18.87,13.77,0.57,13.33333333,-77.86,42
36.98,49,ingroup,2,38,93.77,99.43,92.45,31.32,1.7,0.57,90.43333333,-77.60666667,-2
37.36,81,ingroup,1,36,64.91,68.68,66.23,37.17,31.89,12.26,33.21333333,-45.78666667,62
37.74,41,neutral,1,22,53.4,43.77,44.53,57.17,19.43,20.38,-5.533333333,-35.34666667,-18
37.74,0,buddhist,1,25,43.58,43.4,44.15,14.72,22.83,19.81,-12.58,-61.76,-100
38.11,50,outgroup,1,28,88.87,80.57,70.19,28.68,6.98,42.08,59.75333333,-48.17333333,0
38.11,57,ingroup,2,27,82.45,87.74,84.72,43.96,45.66,23.96,69.94,-24.28,14
38.11,60,ingroup,1,39,80.38,81.32,82.64,44.34,45.09,44.72,62.89333333,-10.56666667,20
38.49,33,buddhist,2,45,77.92,76.6,75.28,38.68,27.36,32.08,53.2,-34.58666667,-34
38.49,41,neutral,2,25,68.11,64.91,79.06,30,28.3,25.66,41.38666667,-44.02666667,-18
38.87,49,outgroup,2,29,49.81,48.87,74.91,24.15,0,0,15.72666667,-83.9,-2
38.98,36,ingroup,2,29,70.43,45.2,18.83,77.21,61.02,34.84,-10.36,15.38,-28
39.25,50,buddhist,1,27,92.83,74.72,63.58,20.57,1.89,0,54.08666667,-85.02666667,0
39.25,37,outgroup,2,60,45.28,45.09,35.47,39.43,47.74,10,-16.10666667,-35.22,-26
39.36,50,ingroup,1,34,75.71,78.91,79.28,68.74,36.35,25.99,55.93333333,-12.61333333,0
39.6,39,ingroup,2,33,67.73,63.45,12.26,0,23.05,0,-4.373333333,-84.63333333,-22
39.62,50,neutral,1,26,72.83,68.68,58.68,65.28,11.13,4.34,33.46,-46.16666667,0
39.62,16,ingroup,2,35,49.06,53.21,56.98,36.6,31.7,17.36,6.166666667,-42.89333333,-68
39.62,40,neutral,2,23,61.7,76.04,76.6,49.81,47.36,30.38,42.89333333,-14.96666667,-20
39.62,76,neutral,1,32,90.57,92.45,91.13,83.21,59.43,24.72,82.76666667,11.57333333,52
39.74,44,ingroup,1,61,92.09,91.34,93.6,3.95,18.83,0,84.68666667,-84.81333333,-12
39.74,46,buddhist,2,22,78.72,79.1,75.33,12.05,0,0,55.43333333,-91.96666667,-8
39.74,50,neutral,1,37,52.54,56.69,50.85,43.5,41.81,10.17,6.72,-36.34666667,0
40,40,ingroup,2,24,51.51,29.62,10,53.02,13.4,21.13,-39.24666667,-41.63333333,-20
40,40,ingroup,2,36,59.43,57.55,57.17,7.74,4.34,6.6,16.1,-87.54666667,-20
40.38,50,ingroup,2,27,64.34,64.72,80.57,58.11,41.7,9.81,39.75333333,-26.92,0
40.38,59,ingroup,2,30,61.32,75.85,77.55,36.6,27.36,4.72,43.14666667,-54.21333333,18
40.38,34,neutral,1,36,85.85,100,90.57,15.85,16.04,8.11,84.28,-73.33333333,-32
40.38,70,ingroup,2,33,50.75,52.64,81.32,49.81,47.74,7.92,23.14,-29.68666667,40
40.38,80,neutral,2,41,33.96,39.43,42.26,3.4,3.4,2.64,-22.9,-93.70666667,60
40.38,50,outgroup,1,23,37.92,40.75,40.38,43.4,36.79,36.79,-20.63333333,-22.01333333,0
40.49,17,outgroup,2,26,56.31,47.65,58.38,55.74,45.95,34.27,8.226666667,-9.36,-66
40.49,25,neutral,1,32,0,1.51,0.56,0,0,0,-98.62,-100,-50
40.54,80,ingroup,1,51,64.03,64.03,65.7,34.93,34.72,20.79,29.17333333,-39.70666667,60
40.65,30,neutral,2,35,43.48,47.83,20.98,46.12,46.12,15.5,-25.14,-28.17333333,-40
40.75,30,ingroup,2,23,50,61.89,61.32,50,50,8.87,15.47333333,-27.42,-40
40.75,50,ingroup,1,26,60.19,61.13,43.77,39.81,28.11,7.36,10.06,-49.81333333,0
40.75,70,neutral,1,29,30,29.81,75.85,67.36,29.25,73.21,-9.56,13.21333333,40
40.75,50,ingroup,2,26,61.51,55.28,46.42,47.17,43.02,40.57,8.806666667,-12.82666667,0
40.75,40,neutral,2,29,49.43,32.64,60.75,22.08,22.64,49.43,-4.786666667,-37.23333333,-20
40.75,51,outgroup,2,23,61.7,50,47.74,72.08,50,45.47,6.293333333,11.7,2
40.75,50,neutral,2,29,50,50,53.4,38.87,50,40.19,2.266666667,-13.96,0
40.75,50,ingroup,1,28,62.45,61.89,42.64,40.57,39.81,42.26,11.32,-18.24,0
40.75,59,outgroup,2,21,61.51,61.7,63.4,0,0,0.19,24.40666667,-99.87333333,18
40.87,34,buddhist,2,26,50.09,50.09,50.09,50.09,50.09,50.09,0.18,0.18,-32
41.13,49,ingroup,2,34,67.92,65.47,55.85,55.09,52.45,51.89,26.16,6.286666667,-2
41.13,50,outgroup,1,24,66.42,66.79,66.04,40.94,32.64,24.53,32.83333333,-34.59333333,0
41.13,20,ingroup,2,37,35.09,34.72,34.34,49.81,55.28,76.6,-30.56666667,21.12666667,-60
41.13,40,neutral,1,33,76.98,50,21.7,71.13,3.02,31.13,-0.88,-29.81333333,-20
41.24,40,ingroup,1,32,69.68,70.06,50.09,69.87,33.33,50.09,26.55333333,2.193333333,-20
41.5,28,ingroup,1,25,61.69,67.53,44.48,16.23,3.57,4.87,15.8,-83.55333333,-44
41.51,50,ingroup,2,35,83.77,72.83,72.83,78.3,44.34,27.55,52.95333333,0.126666667,0
41.89,74,outgroup,2,26,61.13,72.83,61.89,40.57,30.19,24.15,30.56666667,-36.72666667,48
41.89,40,buddhist,1,24,64.34,69.57,69.57,49.81,34.11,12.4,35.65333333,-35.78666667,-20
42,49,ingroup,2,35,59.89,61.02,60.64,0.38,2.64,1.32,21.03333333,-97.10666667,-2
42.26,75,buddhist,2,33,72.08,81.89,82.26,26.23,28.11,24.34,57.48666667,-47.54666667,50
42.26,38,buddhist,2,26,64.53,36.23,42.26,7.55,4.34,0.19,-4.653333333,-91.94666667,-24
42.26,50,neutral,2,22,79.06,29.06,57.55,60,61.32,34.91,10.44666667,4.153333333,0
42.26,60,outgroup,2,28,44.72,54.53,40.19,48.49,36.42,44.53,-7.04,-13.70666667,20
42.26,38,neutral,1,28,58.68,22.64,26.42,37.17,35.09,33.21,-28.17333333,-29.68666667,-24
42.26,47,outgroup,2,29,63.96,60.19,65.85,27.55,27.17,29.81,26.66666667,-43.64666667,-6
42.37,52,ingroup,2,34,73.02,72.64,75.28,33.4,29.43,15.66,47.29333333,-47.67333333,4
42.64,50,neutral,2,59,76.23,80.75,76.98,6.79,2.26,0,55.97333333,-93.96666667,0
42.64,21,buddhist,1,36,61.89,60.38,63.02,56.23,55.09,41.89,23.52666667,2.14,-58
42.76,39,neutral,2,27,75,73.61,60.56,4.72,0,0,39.44666667,-96.85333333,-22
43.02,49,buddhist,2,55,86.04,86.04,93.58,19.43,6.04,0,77.10666667,-83.02,-2
43.4,45,outgroup,1,22,66.6,72.45,69.43,64.53,41.32,36.98,38.98666667,-4.78,-10
43.88,51,ingroup,2,19,58.95,57.06,77.59,35.97,35.03,11.3,29.06666667,-45.13333333,2
44.63,50,neutral,1,28,100,80.79,34.46,100,81.54,62.9,43.5,62.96,0
45.39,38,buddhist,1,60,85.66,87.36,86.79,17.17,16.23,7.74,73.20666667,-72.57333333,-24
47.55,63,neutral,2,34,50.94,60.19,63.58,51.89,19.25,8.3,16.47333333,-47.04,26
47.65,45,ingroup,2,28,77.97,68.93,73.26,0,3.39,8.29,46.77333333,-92.21333333,-10
48.68,50,ingroup,1,21,30.94,50.19,32.08,32.45,50,34.53,-24.52666667,-22.01333333,0
49.06,41,outgroup,2,26,66.6,57.92,87.92,29.62,65.66,18.68,41.62666667,-24.02666667,-18
49.43,59,neutral,2,29,50.19,51.13,48.68,12.83,5.85,0,0,-87.54666667,18
49.81,29,outgroup,1,33,58.3,58.3,53.4,0,0,0,13.33333333,-100,-42
49.86,77,buddhist,1,26,70.91,72.75,62.05,12.01,11.04,16.23,37.14,-73.81333333,54
49.91,62,ingroup,2,63,78.53,70.24,69.68,61.58,32.02,14.31,45.63333333,-28.06,24
49.91,70,ingroup,2,67,50.09,57.44,71.37,50.09,55.74,16.57,19.26666667,-18.4,40
50.28,36,neutral,2,28,70.24,71.75,52.73,64.03,30.13,6.97,29.81333333,-32.58,-28
50.66,29,ingroup,1,29,50.07,50.07,51.07,48.46,21.59,0,0.806666667,-53.3,-42
51.41,43,ingroup,1,46,73.82,74.2,37.66,28.44,29.19,2.45,23.78666667,-59.94666667,-14
51.7,49,outgroup,1,33,15.09,0,0,0,0,0,-89.94,-100,-2
51.99,53,ingroup,2,26,42.91,35.35,32.33,6.24,6.24,0,-26.27333333,-91.68,6
52.08,50,ingroup,1,24,41.32,42.45,43.77,42.83,43.21,43.77,-14.97333333,-13.46,0
52.45,50,buddhist,2,37,68.3,63.02,55.47,53.02,47.36,42.26,24.52666667,-4.906666667,0
53.21,45,ingroup,1,40,64.72,70.38,90.75,12.08,10.94,0.94,50.56666667,-84.02666667,-10
53.67,76,buddhist,2,24,100,100,100,0,0,0,100,-100,52
53.96,46,ingroup,2,23,94.91,72.64,37.92,0,0,0,36.98,-100,-8
53.97,52,outgroup,1,29,78.87,66.79,61.13,40.19,40.57,34.91,37.86,-22.88666667,4
54.34,75,buddhist,2,21,98.11,99.81,97.92,0,0,0,97.22666667,-100,50
54.34,51,ingroup,1,26,97.17,87.17,80,0,0,0,76.22666667,-100,2
55.09,87,outgroup,2,27,94.34,93.58,95.47,40,3.58,3.21,88.92666667,-68.80666667,74
55.18,19,outgroup,1,24,80.6,91.71,90.4,22.79,6.21,26.93,75.14,-62.71333333,-62
55.47,49,outgroup,1,19,70.94,70,68.68,26.23,26.42,8.11,39.74666667,-59.49333333,-2
55.85,94,outgroup,1,24,66.6,66.98,67.36,29.43,34.15,27.92,33.96,-39,88
55.85,72,neutral,2,22,73.21,71.51,92.26,73.77,22.08,23.4,57.98666667,-20.5,44
56.6,70,ingroup,1,33,71.7,72.83,73.21,10.19,7.17,1.7,45.16,-87.29333333,40
56.6,28,ingroup,1,22,81.51,81.7,81.89,5.47,6.79,8.87,63.4,-85.91333333,-44
57.33,69,outgroup,2,35,77.75,71.25,53.36,28.63,42.42,52.69,34.90666667,-17.50666667,38
57.74,59,neutral,1,25,90.94,97.74,84.53,0,0,0,82.14,-100,18
58.11,39,neutral,2,29,52.45,57.55,56.04,23.4,20,20.75,10.69333333,-57.23333333,-22
58.11,40,neutral,2,22,77.36,68.49,61.89,21.51,25.85,10.38,38.49333333,-61.50666667,-20
58.57,79,buddhist,2,25,46.33,46.14,2.82,36.53,18.27,10.55,-36.47333333,-56.43333333,58
58.87,73,ingroup,1,25,78.49,66.6,83.21,15.66,31.7,4.91,52.2,-65.15333333,46
58.87,57,neutral,2,22,84.34,85.66,85.66,50,21.13,33.21,70.44,-30.44,14
58.87,59,outgroup,1,47,56.23,59.43,59.62,32.83,33.58,0,16.85333333,-55.72666667,18
58.87,49,outgroup,1,49,77.17,75.47,75.66,71.13,33.4,32.83,52.2,-8.426666667,-2
58.87,40,ingroup,2,39,58.68,71.51,59.62,34.53,19.81,6.6,26.54,-59.37333333,-20
59.25,75,neutral,2,40,94.15,94.72,95.09,10.75,0,0,89.30666667,-92.83333333,50
59.25,40,ingroup,1,21,55.47,57.74,56.23,10.57,11.7,3.58,12.96,-82.76666667,-20
59.25,50,neutral,2,24,65.66,35.28,46.42,60.75,39.25,38.3,-1.76,-7.8,0
59.32,90,outgroup,1,40,69.87,80.6,100,0,0,0,66.98,-100,80
60.08,80,ingroup,2,28,96.61,92.47,85.69,66.85,58.95,26.74,83.18,1.693333333,60
60.3,75,neutral,2,25,61.25,57.47,59.36,62.19,50.09,18.52,18.72,-12.8,50
60.38,76,outgroup,1,24,71.89,56.6,60.57,33.21,25.47,34.34,26.04,-37.98666667,52
60.38,50,ingroup,1,27,91.13,74.72,75.09,4.34,3.58,3.4,60.62666667,-92.45333333,0
60.38,71,outgroup,1,28,28.11,33.21,32.45,43.4,57.36,35.28,-37.48666667,-9.306666667,42
60.38,39,neutral,2,31,82.64,73.96,91.51,65.66,44.34,40,65.40666667,0,-22
60.38,60,ingroup,2,41,50,50,50,50,0,0,0,-66.66666667,20
60.61,31,outgroup,2,27,84.64,90.26,80.3,56.49,46.32,30.3,70.13333333,-11.26,-38
60.75,41,buddhist,1,23,86.04,90.94,89.62,12.45,7.36,4.15,77.73333333,-84.02666667,-18
60.75,70,ingroup,2,63,58.87,63.77,61.13,35.28,16.04,14.72,22.51333333,-55.97333333,40
60.75,56,outgroup,2,19,55.85,68.3,78.11,41.89,46.42,29.62,34.84,-21.38,12
60.75,50,outgroup,1,24,58.49,58.11,65.47,40,31.89,19.62,21.38,-38.99333333,0
60.75,30,neutral,1,23,78.11,51.89,27.36,17.92,0,20.94,4.906666667,-74.09333333,-40
60.75,48,ingroup,2,35,50.94,52.64,0,48.68,47.92,0,-30.94666667,-35.6,-4
60.83,24,ingroup,2,33,50.09,45.95,52.73,36.35,40.11,24.67,-0.82,-32.58,-52
60.83,45,neutral,1,32,75.52,84.56,63.65,17.33,0,15.25,49.15333333,-78.28,-10
60.94,75,outgroup,2,21,80.18,79.44,78.41,49.49,21.59,38.47,58.68666667,-26.96666667,50
61.04,64,buddhist,2,55,75.97,79.87,38.64,26.19,26.3,25.97,29.65333333,-47.69333333,28
61.13,50,outgroup,2,23,64.34,46.98,61.7,1.13,1.32,1.32,15.34666667,-97.48666667,0
61.13,61,buddhist,1,21,90.38,100,91.13,4.91,1.13,15.85,87.67333333,-85.40666667,22
61.13,40,buddhist,2,28,63.77,59.25,53.77,14.34,4.53,19.62,17.86,-74.34,-20
61.13,40,ingroup,2,37,70,64.34,60.94,67.17,60.94,39.25,30.18666667,11.57333333,-20
61.13,50,neutral,1,23,100,69.06,64.15,79.43,0,0,55.47333333,-47.04666667,0
61.13,50,buddhist,2,31,55.85,51.32,53.02,37.74,22.83,0,6.793333333,-59.62,0
61.13,40,ingroup,1,27,55.09,54.72,39.06,11.32,0,0,-0.753333333,-92.45333333,-20
61.21,70,ingroup,2,37,56.87,57.25,56.5,46.52,46.33,7.53,13.74666667,-33.08,40
61.21,61,neutral,1,28,72.69,68.17,84.56,29.38,22.6,0,50.28,-65.34666667,22
61.21,41,ingroup,1,24,68.55,88.7,74.95,40.68,42.75,46.52,54.8,-13.36666667,-18
61.29,50,ingroup,2,30,12.99,12.99,59.42,13.31,13.96,10.39,-43.06666667,-74.89333333,0
61.51,50,ingroup,2,27,63.96,58.11,39.43,37.55,30,9.24,7.666666667,-48.80666667,0
61.51,67,buddhist,2,24,58.49,75.09,66.42,33.02,0.75,5.47,33.33333333,-73.84,34
61.89,23,neutral,1,24,55.28,59.81,44.91,34.34,38.3,5.85,6.666666667,-47.67333333,-54
61.89,48,outgroup,1,30,67.74,64.53,73.4,32.83,33.02,19.81,37.11333333,-42.89333333,-4
62.26,27,neutral,1,64,98.87,96.79,98.11,5.47,0.38,0,95.84666667,-96.1,-46
62.26,90,outgroup,2,27,100,68.68,72.45,0,13.58,13.58,60.75333333,-81.89333333,80
62.26,50,outgroup,2,25,86.6,94.34,75.47,50,40.19,14.72,70.94,-30.06,0
62.26,50,outgroup,2,32,61.51,50,56.23,50,50,26.98,11.82666667,-15.34666667,0
62.26,23,ingroup,2,44,69.62,72.26,72.64,66.98,68.49,67.17,43.01333333,35.09333333,-54
62.26,20,buddhist,2,37,89.81,95.66,93.96,21.7,18.11,14.72,86.28666667,-63.64666667,-60
