party,gender,age,ingroup.value,ingroup.like,ingroup.connected,outgroup.value,outgroup.like,outgroup.connected,ingroup.average,outgroup.average,condition,rating,date
1,1,24,64.42,55.77,68.46,42.69,40.39,30.19,25.76666667,-24.48666667,ingroup.loss,41.02,
1,1,28,68.46,72.12,77.31,0,0,0,45.26,-100,outgroup.loss,81.474,
1,2,29,69.16,69.97,50,31.49,31.33,19.16,26.08666667,-45.34666667,ingroup.win,100,
1,1,27,35.96,35.58,7.89,22.31,21.15,2.12,-47.04666667,-69.61333333,neutral.win,36.862,
1,1,25,73.46,59.03,62.18,40.85,41.82,37.46,29.78,-19.91333333,ingroup.loss,73.14,
1,1,50,66.15,82.5,89.23,9.04,1.73,0,58.58666667,-92.82,ingroup.win,98.868,
1,2,32,74.04,68.27,80.96,19.04,15,0,48.84666667,-77.30666667,ingroup.win,83.365,
1,2,46,69.62,69.81,70.19,38.85,17.89,4.42,39.74666667,-59.22666667,neutral.loss,72.401,
1,1,35,80.23,76.78,70.83,0,0,0,51.89333333,-100,neutral.win,41.132,
1,2,23,86.54,79.04,75.39,50,36.92,14.04,60.64666667,-32.69333333,neutral.win,96.219,
1,1,28,55.66,55.28,24.38,22.65,25.34,6.33,-9.786666667,-63.78666667,ingroup.loss,42.64,
1,2,31,99.62,93.65,93.46,14.23,0,0,91.15333333,-90.51333333,outgroup.win,99.622,
1,1,28,59.64,60.42,61.2,10.03,5.34,4.95,20.84,-86.45333333,neutral.loss,34.008,
1,2,20,54.42,46.35,42.31,18.46,15.77,0,-4.613333333,-77.18,neutral.loss,39.508,
1,1,21,78.46,88.27,85.77,25.39,24.42,32.5,68.33333333,-45.12666667,neutral.win,74.669,
1,1,30,46.92,47.31,25,50,5.77,0,-20.51333333,-62.82,outgroup.loss,15.312,
1,1,34,84.62,84.23,84.23,18.08,0,0,68.72,-87.94666667,outgroup.win,91.682,
1,1,19,63.08,68.27,41.15,51.92,17.12,0,15,-53.97333333,neutral.win,6.616,
1,1,27,41.46,38.58,49.33,46.83,41.27,35.32,-13.75333333,-17.72,ingroup.loss,-0.38,
1,2,52,83.27,91.15,90.39,22.89,0,0,76.54,-84.74,outgroup.loss,86.767,
1,1,23,66.35,67.12,67.12,0,0,0,33.72666667,-100,outgroup.loss,100,
1,2,27,86.18,62.3,61.09,8.97,10.42,92,39.71333333,-25.74,outgroup.loss,-64.038,
1,1,22,57.31,57.12,67.31,50,50,35.77,21.16,-9.486666667,ingroup.loss,100,
1,2,27,89.42,98.65,88.46,4.81,1.92,0.77,84.35333333,-95,neutral.loss,31.191,
1,1,33,76.92,54.81,56.73,61.92,21.35,28.65,25.64,-25.38666667,ingroup.win,93.195,
1,2,26,47.03,55.28,34.74,0,0,0,-8.633333333,-100,outgroup.win,98.113,
1,1,33,100,100,100,0,0,0,100,-100,ingroup.win,100,
1,1,25,81.73,84.81,74.23,57.31,62.69,36.15,60.51333333,4.1,ingroup.loss,35.85,
1,2,38,71.73,62.89,75.96,20.19,4.81,15.39,40.38666667,-73.07333333,neutral.win,100,
1,2,26,88.65,92.12,71.15,7.12,1.15,0,67.94666667,-94.48666667,neutral.loss,52.741,
1,1,36,85.58,63.46,54.04,50,7.12,5,35.38666667,-58.58666667,ingroup.win,-30.057,
1,1,31,57.39,60.27,62.19,37.04,42.23,36.08,19.9,-23.1,neutral.loss,19.245,
1,1,48,9.42,23.46,0.77,0,0,0,-77.56666667,-100,ingroup.loss,26.65,
1,1,23,84,85.54,90.46,0,0,0,73.33333333,-100,outgroup.win,100,
1,1,28,71.79,89.64,87.72,63.53,39.54,13.24,66.1,-22.46,outgroup.loss,79.623,
1,2,24,59.12,69.1,79.27,12.67,3.65,12.09,38.32666667,-81.06,outgroup.win,80.755,
1,1,33,1.35,2.31,1.73,10.39,8.08,10,-96.40666667,-81.02,outgroup.loss,78.072,
1,1,18,100,86.15,64.81,48.46,27.31,31.73,67.30666667,-28.33333333,neutral.win,50.851,
1,2,22,47.89,45.19,60.58,25.58,17.69,11.54,2.44,-63.46,outgroup.loss,90.17,
1,2,42,62.96,81,89.83,30.71,28.98,10.75,55.86,-53.04,outgroup.loss,63.774,
1,2,31,61.35,63.85,58.85,41.35,43.27,30.39,22.7,-23.32666667,neutral.loss,42.641,
1,2,24,93.85,96.73,96.92,22.12,21.15,20.39,91.66666667,-57.56,ingroup.win,100,
1,1,50,75.96,56.35,55.96,0.58,0,0,25.51333333,-99.61333333,ingroup.win,88.658,
1,2,60,95.2,85.03,83.88,7.68,0,0.58,76.07333333,-94.49333333,ingroup.loss,100,
1,1,32,50.77,60.39,50,29.04,12.12,0,7.44,-72.56,neutral.win,59.924,
1,1,27,36.73,60.96,27.5,75.58,60.96,15.77,-16.54,1.54,neutral.loss,40.643,
1,1,18,55.77,55.77,0,34.62,31.15,0,-25.64,-56.15333333,outgroup.win,84.877,
1,2,30,85.96,66.54,68.46,6.35,0,0,47.30666667,-95.76666667,outgroup.loss,89.792,
1,2,47,100,97.7,100,4.79,0,0,98.46666667,-96.80666667,outgroup.loss,100,
1,1,27,75.77,70.96,74.42,34.04,19.62,26.15,47.43333333,-46.79333333,neutral.win,19.849,
1,1,58,66.03,66.99,57.58,0,0,0,27.06666667,-100,neutral.win,100,
1,1,42,38.65,27.5,15.58,0,0,0,-45.51333333,-100,outgroup.loss,51.229,
1,1,26,66.35,69.81,72.12,50.39,50,50,38.85333333,0.26,ingroup.win,31.947,
1,2,33,48.65,48.65,0,0,0.19,0,-35.13333333,-99.87333333,ingroup.loss,98.87,
1,2,25,64.04,79.81,90.19,39.81,39.04,17.5,56.02666667,-35.76666667,neutral.win,81.475,
1,1,29,71.31,71.39,68.04,50.06,28.61,47.91,40.49333333,-15.61333333,neutral.loss,39.089,
1,1,22,50.1,50.1,50.1,50.1,50.1,49.52,0.2,-0.186666667,outgroup.win,61.132,
1,1,29,71.15,64.42,65,12.12,8.08,0,33.71333333,-86.53333333,ingroup.loss,61.81,
1,1,25,58.08,43.65,36.54,21.92,19.42,20.19,-7.82,-58.98,outgroup.loss,-18.337,
1,2,24,62.76,55.66,61.23,10.37,38.2,9.41,19.76666667,-61.34666667,ingroup.win,96.226,
1,1,27,54.51,50.1,42.04,46.83,50.1,43.76,-2.233333333,-6.206666667,neutral.win,47.547,
1,1,26,52.5,55.58,46.54,49.62,40,35.58,3.08,-16.53333333,neutral.loss,27.788,
1,1,47,57.23,56.46,51.54,41.54,35.85,30.92,10.15333333,-27.79333333,neutral.loss,35.799,
1,1,33,85,80.19,76.92,9.42,9.62,27.5,61.40666667,-68.97333333,neutral.loss,40.265,
1,1,29,62.96,65.23,43.86,34.77,35.91,17.96,14.7,-40.90666667,neutral.loss,43.43,
1,1,29,39.73,38.2,18.43,0,0,0,-35.76,-100,neutral.loss,0.189,
1,1,40,57.5,58.65,56.54,0,0,0,15.12666667,-100,outgroup.win,100,
1,1,24,30.58,15.77,0.77,0,0,0,-68.58666667,-100,outgroup.loss,81.096,
1,2,63,98.85,96.55,100,53.17,5.37,5.18,96.93333333,-57.52,ingroup.loss,60.75,
1,1,30,38.2,62.76,55.09,20.54,15.16,15.93,4.033333333,-65.58,outgroup.loss,31.698,
1,2,34,50,81.92,83.27,28.08,0,0,43.46,-81.28,neutral.loss,41.021,
1,1,43,96.92,95.96,95.96,4.81,0,0,92.56,-96.79333333,ingroup.win,100,
1,1,43,82.73,89.64,83.11,36.85,0.38,0,70.32,-75.18,neutral.win,64.461,
1,1,24,75.77,84.62,87.12,20.96,15.39,12.12,65.00666667,-67.68666667,ingroup.loss,86.01,
1,1,22,87.69,80,87.12,5.77,6.35,5.19,69.87333333,-88.46,neutral.win,100,
1,1,20,34.04,88.65,19.23,0,0,0,-5.386666667,-100,ingroup.win,100,
1,1,22,65.39,65.19,58.27,9.23,9.42,9.42,25.9,-81.28666667,neutral.win,41.021,
1,2,22,72.12,80.39,69.81,33.27,26.73,5.77,48.21333333,-56.15333333,ingroup.loss,50.85,
1,1,27,68.65,69.42,50,5.39,3.85,0,25.38,-93.84,ingroup.win,100,
1,2,30,75.96,75.77,78.08,16.73,15.77,6.15,53.20666667,-74.23333333,neutral.win,80.34,
1,2,24,93.85,92.69,93.08,50,48.65,48.46,86.41333333,-1.926666667,neutral.win,91.682,
1,1,32,72.61,75.29,77.82,10.29,11.76,14.38,50.48,-75.71333333,neutral.win,40.379,
1,2,44,51.92,55,45.77,44.81,46.73,44.04,1.793333333,-9.613333333,neutral.loss,21.739,
1,2,24,78.08,79.04,62.89,20.19,5.96,0,46.67333333,-82.56666667,outgroup.win,81.853,
1,2,22,40.96,54.81,42.5,5.96,28.08,1.15,-7.82,-76.54,neutral.win,61.059,
1,1,27,66.92,64.62,60,22.69,10,9.42,27.69333333,-71.92666667,ingroup.win,76.938,
1,1,28,54.62,58.08,54.62,0.96,1.35,0,11.54666667,-98.46,neutral.win,60.681,
1,1,22,79.04,70,57.31,46.54,33.27,3.08,37.56666667,-44.74,neutral.loss,61.059,
1,1,46,37.5,24.23,31.54,30.58,25.19,5.96,-37.82,-58.84666667,neutral.win,44.423,
1,2,24,75.58,63.27,54.04,75.39,36.35,24.42,28.59333333,-9.226666667,ingroup.loss,52.74,
1,2,32,60.65,75.82,81,35.32,15.36,1.34,44.98,-65.32,ingroup.loss,85.66,
1,1,28,57.89,58.46,69.04,54.42,22.89,5.58,23.59333333,-44.74,neutral.loss,67.864,
1,2,22,70,81.54,74.23,15.77,5.77,0,50.51333333,-85.64,outgroup.win,79.962,
1,1,47,87.52,87.72,87.14,0,0,0,74.92,-100,neutral.win,0.377,
1,2,36,85.99,84.45,80.42,11.13,13.24,13.05,67.24,-75.05333333,outgroup.loss,88.679,
1,2,52,82.73,82.53,52.78,23.03,9.02,0,45.36,-78.63333333,ingroup.win,100,
1,2,36,75.43,76.01,86.95,39.73,17.27,3.84,58.92666667,-59.44,neutral.loss,61.132,
1,1,31,66.6,73.7,74.66,39.73,36.08,34.55,43.30666667,-26.42666667,neutral.loss,72.83,
1,2,30,80,65.39,34.62,73.46,36.73,12.12,20.00666667,-18.46,outgroup.win,100,
1,1,59,55.96,56.15,56.35,45.19,45.39,45.58,12.30666667,-9.226666667,ingroup.loss,50.85,
1,1,21,54.62,58.46,54.04,39.42,36.15,34.23,11.41333333,-26.8,ingroup.win,34.972,
1,2,27,46.54,46.15,44.04,4.62,5.19,6.35,-8.846666667,-89.22666667,outgroup.win,95.841,
1,1,26,63.46,78.27,64.04,31.15,27.31,65,37.18,-17.69333333,ingroup.loss,69.75,
1,2,29,41.54,37.69,46.15,6.73,7.69,10.96,-16.41333333,-83.08,ingroup.loss,68.24,
1,2,23,30.77,22.31,52.31,7.89,1.92,0.77,-29.74,-92.94666667,neutral.loss,83.743,
1,1,24,56.54,55.39,54.23,35.77,37.12,37.5,10.77333333,-26.40666667,ingroup.win,63.327,
1,2,50,90.51,90.38,98.96,5.2,1.17,0,86.56666667,-95.75333333,ingroup.loss,60.1,
1,2,68,19.62,19.62,35.96,3.27,0,0.39,-49.86666667,-97.56,outgroup.win,81.475,
1,1,30,41.27,33.78,41.46,3.46,3.65,0,-22.32666667,-95.26,neutral.win,50.189,
1,1,32,47.5,46.73,45.19,35,38.46,16.54,-7.053333333,-40,ingroup.win,59.546,
1,1,32,38.58,41.27,21.31,0,0,0,-32.56,-100,neutral.win,16.981,
1,1,38,55.28,53.74,55.85,30.52,26.49,24.57,9.913333333,-45.61333333,outgroup.win,18.113,
1,2,27,23.99,24.95,18.81,9.02,8.64,8.25,-54.83333333,-82.72666667,ingroup.loss,93.21,
1,2,24,76.92,76.15,76.73,18.46,12.5,10.19,53.2,-72.56666667,outgroup.win,91.304,
1,1,29,69.62,75.77,68.85,10.77,3.08,3.46,42.82666667,-88.46,ingroup.loss,-6.62,
1,2,32,100,100,99.62,0.96,1.34,0.38,99.74666667,-98.21333333,outgroup.win,100,
1,2,18,58.08,62.12,62.89,50.96,48.46,50.58,22.06,0,ingroup.win,59.924,
1,1,28,66.15,68.08,71.92,22.69,12.12,6.54,37.43333333,-72.43333333,ingroup.win,43.289,
1,1,34,62.5,70.19,69.04,4.42,6.92,0,34.48666667,-92.44,ingroup.loss,73.16,
1,2,24,48.12,50.06,51.15,47.03,53.33,51.52,-0.446666667,1.253333333,neutral.win,-2.638,
1,2,24,63.6,63.99,65.52,66.86,66.28,70.12,28.74,35.50666667,neutral.win,46.038,
1,2,33,100,100,72.94,0,0,0,81.96,-100,neutral.win,100,
1,1,24,45.19,47.89,53.46,17.5,10.19,0,-2.306666667,-81.54,neutral.win,30.057,
1,1,29,84.26,82.34,65.84,28.6,12.09,0,54.96,-72.87333333,outgroup.win,100,
1,1,25,52.89,53.27,52.69,0,0,0,5.9,-100,ingroup.loss,100,
1,1,44,25.96,26.54,21.73,10.77,14.23,0,-50.51333333,-83.33333333,ingroup.win,81.853,
1,2,74,68.85,70.77,54.62,6.92,0,0,29.49333333,-95.38666667,outgroup.win,100,
1,1,29,55.39,63.27,68.65,63.46,53.08,28.46,24.87333333,-3.333333333,ingroup.win,79.584,
1,1,25,55.19,55,55,12.5,12.12,11.73,10.12666667,-75.76666667,ingroup.loss,90.93,
1,1,32,75,81.35,77.31,47.89,42.89,37.31,55.77333333,-14.60666667,neutral.loss,24.386,
1,1,65,100,100,99.23,0,0,0,99.48666667,-100,neutral.win,70.132,
1,2,29,92.18,86.77,78.76,0,0,0,71.80666667,-100,outgroup.loss,97.647,
1,2,45,50,50,50,19.42,13.85,8.27,0,-72.30666667,ingroup.loss,59.62,
1,1,24,70.96,72.69,81.54,27.89,26.92,8.65,50.12666667,-57.69333333,outgroup.win,82.609,
1,1,29,66.92,30.96,10.58,0,0,0,-27.69333333,-100,neutral.loss,48.582,
1,2,33,95.77,94.42,95.58,0,1.73,2.31,90.51333333,-97.30666667,outgroup.win,89.792,
1,1,22,77.69,81.15,84.04,27.89,20.77,30.19,61.92,-47.43333333,outgroup.win,86.389,
1,2,41,91.17,90.98,86.95,11.32,7.68,16.51,79.4,-76.32666667,outgroup.loss,81.509,
1,2,36,76.58,77.74,80.42,28.98,29.37,29.75,56.49333333,-41.26666667,neutral.loss,60.755,
1,1,59,78.5,79.42,79.73,0,0,0,58.43333333,-100,neutral.win,98.491,
1,2,31,55.39,55,41.35,51.54,52.5,40.77,1.16,-3.46,neutral.win,61.059,
1,2,36,48.56,51.25,41.27,40.69,27.26,14.2,-5.946666667,-45.23333333,neutral.win,2.642,
1,2,61,85,85,85.58,0,0,0,70.38666667,-100,neutral.win,100,
1,1,49,72.75,74.09,74.47,0,0,0,47.54,-100,outgroup.loss,60,
1,1,20,57.69,63.65,58.46,25.58,22.31,15.77,19.86666667,-57.56,neutral.loss,63.705,
1,2,22,54.42,52.12,64.04,55.19,53.08,59.23,13.72,11.66666667,neutral.win,47.07,
1,1,48,9.02,9.98,3.84,0.77,0,0,-84.77333333,-99.48666667,neutral.win,42.264,
1,2,25,78.27,77.31,68.46,5.58,5.39,0,49.36,-92.68666667,neutral.win,39.13,
1,1,35,53.36,52.78,48.75,42.8,33.4,33.78,3.26,-26.68,outgroup.loss,60.755,
1,2,59,50,23.65,50,0,0,0,-17.56666667,-100,neutral.loss,60.302,
1,2,25,99.81,100,100,0,0,0,99.87333333,-100,outgroup.win,100,
1,2,56,78.46,73.85,58.46,8.65,8.46,9.04,40.51333333,-82.56666667,outgroup.win,90.17,
1,1,24,53.17,50.1,45.68,42.99,42.8,20.73,-0.7,-28.98666667,ingroup.win,57.359,
1,1,29,13.27,0,16.15,10.58,0,1.92,-80.38666667,-91.66666667,ingroup.loss,72.78,
1,1,28,9.23,10,1.54,0,0.19,0,-86.15333333,-99.87333333,neutral.loss,79.962,
1,2,25,39.04,38.27,55,12.5,3.27,8.08,-11.79333333,-84.1,ingroup.win,38.374,
1,1,26,57.12,55.77,30.39,45.77,25.96,3.85,-4.48,-49.61333333,outgroup.win,82.231,
1,4,21,100,100,100,0,0,0,100,-100,ingroup.win,100,
1,2,24,28.65,21.54,11.73,8.46,0,0,-58.72,-94.36,ingroup.win,58.79,
1,1,22,58.46,54.81,60.19,52.69,41.54,50.39,15.64,-3.586666667,ingroup.loss,47.83,
1,1,33,61.92,75.58,90.19,7.89,0,0,51.79333333,-94.74,ingroup.loss,75.42,
1,2,36,62.31,61.15,62.5,3.27,7.31,5,23.97333333,-89.61333333,outgroup.win,60.303,
1,1,22,82.31,50,37.31,11.35,7.12,11.35,13.08,-80.12,ingroup.loss,70.89,
1,1,26,100,100,100,0,0,0,100,-100,outgroup.loss,100,
1,2,38,59.23,62.5,63.46,5.19,0.77,0,23.46,-96.02666667,outgroup.loss,80.718,
1,1,27,76.35,75.96,67.5,30,26.54,17.5,46.54,-50.64,ingroup.loss,41.02,
1,1,28,71.73,72.5,53.27,24.04,22.5,17.12,31.66666667,-57.56,neutral.win,80.34,
1,2,19,100,100,100,18.65,0,0,100,-87.56666667,neutral.win,59.546,
1,1,65,72.69,73.85,63.85,0.77,0.19,0,40.26,-99.36,neutral.loss,81.853,
1,1,48,73.51,73.9,60.27,23.8,23.42,22.65,38.45333333,-53.42,outgroup.loss,100,
1,1,37,48.27,53.65,56.54,46.54,47.12,30,5.64,-17.56,outgroup.win,79.962,
1,1,33,64.62,70.39,68.46,34.04,34.81,40.19,35.64666667,-27.30666667,ingroup.win,-18.715,
1,1,37,82.12,76.73,90.96,14.23,9.42,3.08,66.54,-82.18,ingroup.loss,100,
1,2,22,55.39,50,50,27.12,31.54,30.96,3.593333333,-40.25333333,neutral.loss,69.434,
1,1,51,64.81,72.69,73.85,45.77,10,9.81,40.9,-56.28,ingroup.loss,41.02,
1,1,35,91.75,99.81,100,0,0,0,94.37333333,-100,outgroup.loss,100,
1,2,28,68.85,76.92,48.85,36.92,37.89,28.85,29.74666667,-30.89333333,neutral.win,-9.641,
1,2,27,100,100,100,0,0,0,100,-100,ingroup.loss,61.44,
1,2,19,56.35,73.08,88.08,25.58,4.81,0,45.00666667,-79.74,neutral.win,66.73,
1,1,18,71.73,58.08,47.31,10.19,8.85,0,18.08,-87.30666667,neutral.loss,80.718,
1,1,28,89.38,91.52,90.24,37.82,25.94,27.27,80.76,-39.31333333,ingroup.loss,20.62,
1,2,27,81.73,62.89,56.92,3.65,0,2.89,34.36,-95.64,outgroup.win,70.566,
1,1,25,59.04,61.92,74.04,44.04,45.58,23.08,30,-24.86666667,outgroup.win,42.155,
1,1,21,55.85,60.85,52.02,56.24,57.39,54.7,12.48,12.22,ingroup.win,54.717,
1,1,23,73.27,63.27,63.46,0,18.08,18.08,33.33333333,-75.89333333,neutral.win,81.853,
1,2,29,50,50,34.42,50,50,31.73,-10.38666667,-12.18,ingroup.loss,67.11,
1,1,21,81.38,45.49,51.06,77.54,19.58,81,18.62,18.74666667,neutral.win,-40.755,
1,2,21,57.2,54.51,54.89,5.18,0.96,0,11.06666667,-95.90666667,neutral.loss,62.264,
1,1,32,68.85,74.42,62.89,0,12.5,0,37.44,-91.66666667,outgroup.win,41.021,
1,1,21,62.19,65.07,61.61,9.41,0,0,25.91333333,-93.72666667,neutral.loss,60.755,
1,1,23,83.85,73.27,82.31,60.39,33.08,16.35,59.62,-26.78666667,neutral.win,61.059,
1,2,25,45.96,41.73,45.96,22.69,11.15,0,-10.9,-77.44,ingroup.win,84.499,
1,2,48,100,100,88.87,13.24,19.77,20.15,92.58,-64.56,neutral.win,98.491,
1,1,65,32.69,33.08,33.08,3.46,0.39,0,-34.1,-97.43333333,outgroup.loss,61.059,
1,1,28,63.65,69.62,69.42,37.31,7.89,0,35.12666667,-69.86666667,ingroup.win,100,
1,2,50,88.08,88.08,88.65,8.65,0.39,0,76.54,-93.97333333,neutral.loss,80.34,
1,2,20,84.23,74.81,77.31,14.42,0,0,57.56666667,-90.38666667,neutral.loss,37.618,
1,2,47,78.5,79.08,70.83,0,0,0.19,52.27333333,-99.87333333,outgroup.win,100,
1,2,62,100,100,100,0,0,0,100,-100,neutral.loss,100,
1,2,33,90.19,87.31,82.69,1.15,0.96,0.77,73.46,-98.08,ingroup.win,87.524,
1,1,25,74.23,89.23,92.5,15.19,6.92,14.23,70.64,-75.77333333,ingroup.win,100,
1,1,26,70,64.62,60.19,58.65,32.31,38.46,29.87333333,-13.72,outgroup.loss,29.679,
1,1,38,58.46,58.62,70.92,0,0,13.39,25.33333333,-91.07333333,ingroup.win,42.604,
1,1,33,78.7,80.04,65.64,0,0,0,49.58666667,-100,neutral.win,41.132,
1,1,20,55.47,58.54,60.27,26.68,32.44,26.49,16.18666667,-42.92666667,outgroup.win,82.642,
1,1,28,79.23,82.69,19.62,18.46,18.27,17.89,21.02666667,-63.58666667,ingroup.loss,70.13,
1,1,21,98.46,96.54,92.5,2.5,6.73,0,91.66666667,-93.84666667,ingroup.loss,68.62,
1,2,28,100,100,100,35.77,35.96,0,100,-52.18,neutral.win,100,
1,1,31,53.94,54.13,57.01,0,0,1.15,10.05333333,-99.23333333,ingroup.loss,69.06,
1,2,29,71.73,49.81,38.08,20.39,22.31,15.96,6.413333333,-60.89333333,outgroup.loss,77.316,
1,1,49,62.76,52.02,51.06,6.72,11.32,7.49,10.56,-82.98,ingroup.loss,57.74,
1,1,32,90.98,79.46,68.14,7.68,0,0,59.05333333,-94.88,ingroup.loss,88.3,
1,2,26,99.42,99.42,98.08,0.77,1.15,0.77,97.94666667,-98.20666667,neutral.win,46.314,
1,1,29,99.81,89.62,89.62,0,0,0.39,86.03333333,-99.74,outgroup.loss,61.887,
1,1,40,61.54,60.96,56.35,0,0,0,19.23333333,-100,neutral.loss,94.329,
1,1,23,76.73,70,76.15,20.39,12.89,21.15,48.58666667,-63.71333333,ingroup.loss,81.85,
1,1,32,73.85,72.5,72.69,27.31,25.19,25.39,46.02666667,-48.07333333,outgroup.win,65.974,
1,1,21,52.78,62.19,50.1,61.04,38.2,34.36,10.04666667,-10.93333333,outgroup.loss,39.245,
1,1,30,50,22.31,0,0,0,0,-51.79333333,-100,neutral.win,100,
1,2,23,59.04,87.31,92.89,32.69,2.12,0,59.49333333,-76.79333333,neutral.loss,43.289,
