gender,age,ingroup.value,ingroup.like,ingroup.connected,outgroup.value,outgroup.like,outgroup.connected,ingroup.average,outgroup.average,condition,rating
1,42,11.32,11.32,10.94,13.96,10.18,5.28,11.19333333,9.806666667,experiencer,-47.92
1,31,-37.74,-63.4,-67.92,-100,-100,-100,-56.35333333,-100,neutral,14.34
1,48,100,100,100,-100,-100,-100,100,-100,ingroup,98.87
1,28,28.82,-13,34.46,-22.04,-39.36,-50.66,16.76,-37.35333333,ingroup,-47.07
1,36,57.74,45.28,17.74,17.36,-23.02,-75.1,40.25333333,-26.92,outgroup,81.89
1,29,42.26,47.16,27.54,-40,-41.5,-69.44,38.98666667,-50.31333333,experiencer,62.26
1,27,29.06,29.82,3.02,-16.6,-14.72,-26.8,20.63333333,-19.37333333,ingroup,-21.13
1,26,36.6,32.84,-1.14,-35.84,-36.6,-28.3,22.76666667,-33.58,neutral,0.38
1,24,73.26,75.52,44.64,70.62,-45.38,-72.12,64.47333333,-15.62666667,ingroup,69.87
1,25,-85.68,-80.8,-100,-95.86,-100,-100,-88.82666667,-98.62,neutral,74.39
1,26,97.36,97.74,96.24,-75.52,-95.1,-97.74,97.11333333,-89.45333333,ingroup,42.37
1,28,43.4,48.68,10.18,-41.14,-45.28,-72.84,34.08666667,-53.08666667,outgroup,56.98
1,40,13,0.18,23.54,-100,-100,-100,12.24,-100,outgroup,21.66
1,37,19.24,10.56,-24.16,-100,-100,-100,1.88,-100,self,44.15
1,33,28.3,30.56,35.1,-50.56,-100,-100,31.32,-83.52,ingroup,41.89
1,44,0,0,-7.92,0,0,-7.92,-2.64,-2.64,self,0.38
1,27,-34.62,-31.16,-100,-32.7,-30.76,-100,-55.26,-54.48666667,outgroup,33.96
1,36,-19.4,-19.78,4.7,-32.2,-81.16,-89.46,-11.49333333,-67.60666667,experiencer,12.99
1,33,51.32,60.38,63.78,-100,-100,-100,58.49333333,-100,neutral,46.14
1,32,68.74,67.6,65.72,64.22,65.34,63.46,67.35333333,64.34,self,40.87
1,22,35.1,36.98,27.16,-100,-100,-100,33.08,-100,experiencer,100
1,32,58.12,56.22,26.04,-32.84,-33.58,-69.82,46.79333333,-45.41333333,ingroup,31.32
1,26,66.42,60.76,46.04,12.84,-39.24,-25.28,57.74,-17.22666667,neutral,27.17
1,38,3.96,5.48,-7.38,-23.26,-59.92,-69,0.686666667,-50.72666667,ingroup,94.71
1,33,2.82,13,12.24,-49.9,-30.32,-23.54,9.353333333,-34.58666667,self,6.97
1,49,63.4,65.28,66.42,-69.06,-70.56,-67.16,65.03333333,-68.92666667,experiencer,82.26
1,24,90.56,74.72,86.8,11.7,-23.78,-67.54,84.02666667,-26.54,outgroup,66.42
1,32,100,100,100,-53.2,-68.3,-79.62,100,-67.04,ingroup,-59.25
1,22,23.16,39.74,33.7,28.82,-32.2,-22.78,32.2,-8.72,experiencer,-0.19
1,22,51.7,-42.64,3.02,-43.78,-16.98,-42.26,4.026666667,-34.34,outgroup,60
1,36,74.72,16.98,4.52,80,-5.28,-57.74,32.07333333,5.66,neutral,18.87
1,23,55.84,56.6,-1.5,-54.34,-100,-100,36.98,-84.78,experiencer,100
1,25,44.26,61.2,51.78,-54.42,-51.78,-59.32,52.41333333,-55.17333333,self,60.08
1,36,51.04,46.14,-5.46,-25.8,-11.12,-25.42,30.57333333,-20.78,outgroup,21.28
1,21,63.02,71.32,70.18,-53.2,-85.28,-87.92,68.17333333,-75.46666667,neutral,82.26
1,35,48.68,23.78,26.8,-100,-84.9,-100,33.08666667,-94.96666667,neutral,13.58
1,35,43.02,45.28,45.66,0,0,0,44.65333333,0,experiencer,79.25
1,22,73.64,77.78,82.68,29.94,12.24,-13.38,78.03333333,9.6,self,57.06
1,38,11.7,10.94,7.16,-100,-100,-100,9.933333333,-100,experiencer,53.59
1,28,-80.38,-81.88,-76.22,-100,-100,-100,-79.49333333,-100,outgroup,80.38
1,26,-22.04,11.86,-100,-100,-100,-100,-36.72666667,-100,self,100
1,52,0,0,-51.32,-100,-100,-100,-17.10666667,-100,ingroup,100
1,24,46.14,49.9,40.86,21.66,20.52,-25.8,45.63333333,5.46,self,58.95
1,19,55.1,49.44,57.74,-70.56,-65.66,-42.26,54.09333333,-59.49333333,outgroup,60.75
1,35,28.54,28.92,14.94,-48.96,-53.12,-88.28,24.13333333,-63.45333333,experiencer,40.64
1,22,71.32,76.98,76.98,-33.58,-48.68,-66.04,75.09333333,-49.43333333,neutral,-48.3
1,27,2.64,4.9,-22.26,-100,-100,-100,-4.906666667,-100,ingroup,39.25
1,29,76.28,79.66,80.8,19.4,9.98,-20.52,78.91333333,2.953333333,outgroup,47.65
1,28,52.1,53.88,49.44,-45.02,-84.48,-64.96,51.80666667,-64.82,self,83.15
1,28,51.32,51.7,53.2,34.72,2.64,-41.14,52.07333333,-1.26,outgroup,100
1,22,33.2,26.42,23.02,-100,-100,-100,27.54666667,-100,ingroup,40.75
1,18,30.56,41.88,-21.88,6.42,-4.52,-43.02,16.85333333,-13.70666667,ingroup,28.3
1,28,38.1,10.56,13.96,-20.38,-30.18,-42.26,20.87333333,-30.94,ingroup,75.48
1,40,-33.96,54.72,-50.18,-100,-100,-100,-9.806666667,-100,experiencer,58.87
1,24,49.52,42.38,75.14,-93.6,-54.8,-100,55.68,-82.8,ingroup,17.14
1,26,100,100,100,-83.02,-89.06,-100,100,-90.69333333,experiencer,100
1,25,67.6,69.86,72.88,-76.28,-78.16,-89.08,70.11333333,-81.17333333,self,40.87
1,27,27.54,28.3,27.92,-46.8,-46.04,-46.04,27.92,-46.29333333,neutral,44.15
1,32,0.18,0.18,-36.34,0.18,0.18,-64.98,-11.99333333,-21.54,ingroup,20.9
1,31,62.72,72.5,61.96,-93.22,-91.34,-91.72,65.72666667,-92.09333333,neutral,82.26
1,26,8.08,17.3,20.78,-74.62,-56.92,-100,15.38666667,-77.18,experiencer,61.44
1,21,81.88,80.38,80.38,-83.4,-83.4,-83.4,80.88,-83.4,experiencer,81.89
1,20,95.02,100,99.78,-83.46,-79,-79.22,98.26666667,-80.56,outgroup,42.21
1,23,6.22,-12.24,2.08,-32.2,-47.64,5.46,-1.313333333,-24.79333333,self,11.49
1,28,33.7,34.46,33.34,-40.86,-43.5,-45.38,33.83333333,-43.24666667,neutral,97.74
1,50,13,-11.48,-11.12,12.62,-58.56,-60.46,-3.2,-35.46666667,ingroup,37.48
1,30,53.46,46.92,45,-54.22,-58.46,-78.84,48.46,-63.84,ingroup,62.95
1,27,55.1,55.84,32.08,-6.8,-1.88,-18.86,47.67333333,-9.18,self,52.83
1,24,100,100,100,-100,-100,-100,100,-100,experiencer,40.38
1,26,0,0,0,-47.16,-48.3,-47.92,0,-47.79333333,outgroup,0.38
1,44,13.74,15.26,16.38,-43.88,-16.38,-82.68,15.12666667,-47.64666667,experiencer,39.36
1,39,42.26,48.3,17.74,-63.4,-68.68,-68.3,36.1,-66.79333333,ingroup,40.38
1,24,-61.14,-61.14,-60,-100,-100,-100,-60.76,-100,ingroup,21.51
1,29,0,0.38,-52.84,0,-64.16,-65.28,-17.48666667,-43.14666667,outgroup,100
1,33,63.4,40.38,29.82,4.9,-31.32,-70.56,44.53333333,-32.32666667,experiencer,1.13
1,27,21.14,20,1.5,-69.44,-72.08,-90.56,14.21333333,-77.36,neutral,28.3
1,41,49.06,49.06,49.44,-84.52,-85.66,-87.54,49.18666667,-85.90666667,self,-1.51
1,30,47.92,50.56,45.28,10.94,-63.78,-100,47.92,-50.94666667,outgroup,100
1,23,100,100,100,-98.12,-97.36,-100,100,-98.49333333,neutral,84.56
1,51,31.82,46.9,20.52,-100,-100,-100,33.08,-100,neutral,40.49
1,21,20.76,16.6,17.74,-61.5,-74.72,-64.52,18.36666667,-66.91333333,self,32.45
1,30,100,62.26,24.52,-35.84,-0.76,-41.14,62.26,-25.91333333,experiencer,100
1,25,14.12,0.18,-16.76,-22.04,-23.54,-21.28,-0.82,-22.28666667,outgroup,20.9
1,24,-43.02,-43.02,-23.78,-44.52,-46.8,-39.24,-36.60666667,-43.52,outgroup,24.15
1,32,46.8,53.96,38.12,-71.32,-66.42,-69.44,46.29333333,-69.06,experiencer,67.92
1,41,-7.54,-6.42,-12.46,-87.16,-89.44,-92.46,-8.806666667,-89.68666667,ingroup,67.92
1,19,10.56,22.26,3.78,-81.5,-90.94,-94.34,12.2,-88.92666667,experiencer,100
1,21,56.3,46.52,35.96,46.9,-31.08,-17.52,46.26,-0.566666667,ingroup,19.77
1,28,-0.56,22.04,-25.04,-82.68,-80.42,-89.08,-1.186666667,-84.06,neutral,7.72
1,25,28.68,28.68,31.7,-20,-26.42,-34.34,29.68666667,-26.92,neutral,62.26
1,22,63.78,53.58,69.44,18.12,18.5,-79.24,62.26666667,-14.20666667,outgroup,61.13
1,27,52.54,50.66,75.14,-58.2,-65.72,-92.46,59.44666667,-72.12666667,neutral,-38.61
1,48,59.7,60.08,44.26,46.9,48.4,35.22,54.68,43.50666667,outgroup,-19.4
1,47,11.32,4.52,-13.2,-12.08,-4.52,-33.96,0.88,-16.85333333,experiencer,5.66
1,26,69.86,86.06,52.16,4.7,11.48,-18.26,69.36,-0.693333333,ingroup,63.47
1,36,-34.72,-49.82,-85.28,-39.24,-84.52,-100,-56.60666667,-74.58666667,self,24.15
1,22,-6.04,-10.18,15.1,-9.06,-52.46,-33.96,-0.373333333,-31.82666667,self,38.87
1,31,3.02,10.56,6.42,-20.76,-34.72,-62.64,6.666666667,-39.37333333,experiencer,15.09
1,23,45.66,53.2,45.66,-33.2,-71.32,-85.28,48.17333333,-63.26666667,ingroup,47.92
1,28,5.84,4.7,4.7,-57.44,-67.98,-87.2,5.08,-70.87333333,experiencer,0.56
1,24,72.08,69.44,93.58,-25.66,-7.16,-15.1,78.36666667,-15.97333333,outgroup,100
1,23,75.48,82.26,72.46,-31.7,-80.76,-95.1,76.73333333,-69.18666667,neutral,70.19
1,29,63.02,65.66,18.86,38.86,42.26,8.68,49.18,29.93333333,outgroup,40
1,21,9.74,-0.48,-88.96,-84.9,-90.74,-94,-26.56666667,-89.88,ingroup,76.95
1,41,44.52,20.38,20.76,-63.02,-100,-100,28.55333333,-87.67333333,experiencer,98.11
1,40,67.98,45,45,-29.94,20.16,-17.52,52.66,-9.1,self,20.15
1,22,99.62,99.62,99.62,8.68,-3.02,-19.62,99.62,-4.653333333,experiencer,21.89
1,62,41.62,43.88,40.48,-11.12,-7.34,-12.62,41.99333333,-10.36,ingroup,58.57
1,27,59.7,-37.82,-15.16,0.96,-39.34,-69.28,2.24,-35.88666667,self,7.92
1,24,0.56,-0.18,0.56,-100,-100,-100,0.313333333,-100,experiencer,100
1,25,0,0.76,1.88,2.26,0,-0.38,0.88,0.626666667,ingroup,0.38
1,51,33.58,34.34,62.64,-100,-100,-100,43.52,-100,ingroup,59.62
1,48,57.82,46.52,16.76,-49.16,-70.62,-95.86,40.36666667,-71.88,outgroup,82.3
1,24,21.88,-25.28,-61.14,-77.36,-100,-100,-21.51333333,-92.45333333,ingroup,41.89
1,27,59.62,60.38,56.98,-100,-100,-100,58.99333333,-100,neutral,100
1,59,73.58,76.98,74.34,-74.34,-72.08,-72.08,74.96666667,-72.83333333,experiencer,39.25
1,61,46.42,47.92,30.56,-34.72,-86.8,-84.16,41.63333333,-68.56,outgroup,23.02
1,18,25.04,18.26,16.38,-4.34,-14.12,-12.24,19.89333333,-10.23333333,outgroup,-18.64
1,18,-53.68,-100,-100,-100,-100,-100,-84.56,-100,neutral,32.58
1,28,45.28,7.16,7.54,-52.46,-75.1,-93.58,19.99333333,-73.71333333,neutral,61.13
1,39,44.26,17.14,49.9,-33.7,-18.64,-35.96,37.1,-29.43333333,outgroup,40.11
1,25,15.84,15.1,15.84,-16.6,-12.08,-11.32,15.59333333,-13.33333333,self,18.87
1,28,81.92,86.82,90.96,-84.94,-89.84,-100,86.56666667,-91.59333333,outgroup,69.87
1,36,29.44,41.14,32.46,0,0,0,34.34666667,0,outgroup,80.75
1,31,70.62,59.7,70.62,-100,-100,-100,66.98,-100,experiencer,23.16
1,26,0,-0.38,2.26,-100,-100,-100,0.626666667,-100,experiencer,100
1,24,100,100,100,-96.6,-80.38,-76.98,100,-84.65333333,outgroup,100
1,27,100,100,100,35.1,36.6,-100,100,-9.433333333,ingroup,40.49
1,54,100,100,100,-86.8,-58.5,-100,100,-81.76666667,self,30.94
1,45,67.54,60.76,62.26,-100,-100,-100,63.52,-100,outgroup,100
1,19,35.84,75.48,43.78,-100,-100,-100,51.7,-100,experiencer,47.55
1,23,73.2,-12.46,58.5,56.98,17.74,6.04,39.74666667,26.92,self,37.36
1,39,41.88,23.02,14.34,-100,-100,-100,26.41333333,-100,neutral,38.11
1,28,16.22,16.22,16.98,-65.28,-63.4,-63.78,16.47333333,-64.15333333,outgroup,61.89
1,24,55.94,59.32,52.54,-100,-100,-100,55.93333333,-100,neutral,77.02
1,33,-49.82,-58.12,-49.82,-100,-100,-100,-52.58666667,-100,experiencer,21.13
1,56,100,100,100,-100,-100,-100,100,-100,experiencer,60.83
1,33,0,0,-46.04,0,-47.16,-100,-15.34666667,-49.05333333,outgroup,0.38
1,22,100,100,100,-77.4,-100,-100,100,-92.46666667,ingroup,60.83
1,24,79.28,80.8,74.76,-87.58,-100,-92.46,78.28,-93.34666667,neutral,75.89
1,26,-3.78,15.48,-1.14,-33.2,-47.92,-40.76,3.52,-40.62666667,self,-0.38
1,31,-68.68,-58.12,-78.12,-99.24,-100,-100,-68.30666667,-99.74666667,outgroup,84.53
1,23,40,58.46,42.3,-29.62,-75,-87.3,46.92,-63.97333333,ingroup,60.68
1,28,0.18,2.08,-2.44,-14.5,-21.66,3.58,-0.06,-10.86,experiencer,19.02
1,47,41.14,34.72,13.58,-24.52,-82.26,-100,29.81333333,-68.92666667,ingroup,67.55
1,37,-22.26,20.38,-44.16,-87.92,-93.2,-95.48,-15.34666667,-92.2,experiencer,30.57
1,18,48.02,57.06,63.84,-67.24,-100,-100,56.30666667,-89.08,self,58.95
1,31,75.1,74.72,3.78,-1.14,-96.98,-15.48,51.2,-37.86666667,experiencer,0
1,24,100,100,100,-100,-100,-100,100,-100,self,87.55
1,57,33.96,10.18,-33.58,-19.62,-64.52,-99.62,3.52,-61.25333333,experiencer,82.26
1,35,100,86.42,83.4,-100,-100,-100,89.94,-100,self,92.08
1,26,-100,-100,-83.78,-100,-100,-100,-94.59333333,-100,experiencer,100
1,22,-11.32,-11.7,-5.66,-6.8,-9.44,-8.3,-9.56,-8.18,neutral,16.6
1,25,13.2,14.34,2.26,0,-13.96,0,9.933333333,-4.653333333,self,-4.91
1,27,19.78,-65.34,-100,40.12,30.7,-48.78,-48.52,7.346666667,neutral,44.26
1,20,66.16,63.84,54.62,-100,-100,-100,61.54,-100,neutral,100
1,29,94.24,94.62,91.94,-99.24,-100,-100,93.6,-99.74666667,outgroup,100
1,22,35.78,35,25.38,3.08,-16.16,4.62,32.05333333,-2.82,self,3.21
1,45,70.38,66.92,77.7,-31.92,-53.08,-98.84,71.66666667,-61.28,ingroup,30.81
1,23,0.78,13.46,-19.62,-32.7,-15,-41.16,-1.793333333,-29.62,experiencer,17.96
1,33,0,0,0,0,0,0.38,0,0.126666667,outgroup,0.57
1,25,11.7,17.46,22.08,-43.18,-44.72,-48.56,17.08,-45.48666667,self,60.38
1,22,37.3,38.84,0,-90,-100,-100,25.38,-96.66666667,ingroup,100
1,30,49.8,42.92,38.7,-100,-100,-100,43.80666667,-100,neutral,79.62
1,32,100,100,100,-95,-90,-100,100,-95,experiencer,100
1,24,65.38,83.08,46.54,-36.54,-60.38,-90,65,-62.30666667,ingroup,59.17
1,27,3.08,1.92,-3.08,-30.76,-29.22,-65,0.64,-41.66,ingroup,53.12
1,37,81.54,75,83.08,-56.54,-55.38,-64.22,79.87333333,-58.71333333,self,49.72
1,35,-82.3,-86.92,-87.3,-100,-100,-100,-85.50666667,-100,outgroup,3.59
1,52,58.08,34.62,0.38,-100,-100,-100,31.02666667,-100,outgroup,82.61
1,63,66.22,66.6,66.22,-62.76,-64.3,-65.84,66.34666667,-64.3,outgroup,82.64
1,30,18.46,15,18.84,-30,-20.76,-13.46,17.43333333,-21.40666667,ingroup,36.86
1,25,67.54,73.96,63.78,-100,-100,-100,68.42666667,-100,experiencer,89.81
1,27,13.2,-16.22,-60.76,-1.14,-73.2,-100,-21.26,-58.11333333,experiencer,80.75
1,27,-16,14.5,7.34,-52.16,-39.36,-72.88,1.946666667,-54.8,neutral,19.4
1,26,57.74,13.58,16.98,-22.26,-68.68,-85.66,29.43333333,-58.86666667,experiencer,26.42
1,28,100,100,100,-31.32,-32.08,-32.84,100,-32.08,ingroup,100
1,46,64.9,57.36,59.62,-46.04,-89.82,-83.4,60.62666667,-73.08666667,self,39.62
1,34,29.82,19.24,2.64,9.82,-75.84,-89.06,17.23333333,-51.69333333,ingroup,40.75
1,26,2.64,41.12,13.96,-100,-100,-100,19.24,-100,neutral,63.4
1,30,-10.56,3.4,-13.96,-61.14,-40.76,-78.12,-7.04,-60.00666667,self,23.4
1,30,19.24,24.16,28.3,-20,-18.5,-36.22,23.9,-24.90666667,outgroup,-21.13
1,23,-46.42,0,-96.22,-41.14,0,-100,-47.54666667,-47.04666667,neutral,0.38
1,29,80.46,85.86,85.44,-77.54,-88.78,-100,83.92,-88.77333333,experiencer,38.31
1,58,84.52,82.64,83.02,-86.42,-87.16,-86.42,83.39333333,-86.66666667,neutral,33.96
1,28,43.5,53.68,29.56,-76.64,-91.72,-100,42.24666667,-89.45333333,ingroup,92.47
1,40,68.74,69.12,52.92,-94.36,-87.2,-87.2,63.59333333,-89.58666667,ingroup,31.07
1,28,3.58,3.96,4.34,0.18,-7.34,-6.22,3.96,-4.46,experiencer,0.56
1,60,81.14,80.76,80,-78.12,-76.98,-93.96,80.63333333,-83.02,ingroup,-0.19
1,34,-52.08,-53.96,-38.12,-100,-100,-100,-48.05333333,-100,outgroup,100
1,30,16.98,12.46,16.98,-12.46,-9.82,-24.52,15.47333333,-15.6,ingroup,6.79
1,29,-28.06,-21.66,-45.76,-52.54,-59.32,-53.3,-31.82666667,-55.05333333,outgroup,18.64
1,31,83.4,98.86,94.34,-14.34,-38.12,-43.02,92.2,-31.82666667,outgroup,20.75
1,24,55.48,74.72,57.36,-80,-100,-100,62.52,-93.33333333,self,63.4
1,21,52.08,-55.84,-54.72,40.38,-60.76,-60.38,-19.49333333,-26.92,ingroup,52.83
1,32,-61.14,-57.36,-100,-89.82,-90.18,-100,-72.83333333,-93.33333333,outgroup,61.51
1,23,51.32,63.02,28.3,-44.9,-76.98,-91.32,47.54666667,-71.06666667,neutral,73.58
1,25,68.68,68.3,36.22,-81.14,-89.06,-91.7,57.73333333,-87.3,experiencer,29.44
1,22,43.02,23.4,14.72,-100,-100,-96.98,27.04666667,-98.99333333,outgroup,96.98
1,20,56.98,58.5,10.56,32.46,-58.5,-100,42.01333333,-42.01333333,ingroup,-46.42
1,28,23.46,25.38,25.38,-32.7,-33.84,-47.7,24.74,-38.08,neutral,63.33
1,27,66.1,64.98,64.6,-52.16,-39.74,-83.8,65.22666667,-58.56666667,outgroup,62.71
1,24,42.64,23.78,23.02,25.28,-48.68,-55.1,29.81333333,-26.16666667,neutral,41.13
1,28,-3.58,-33.7,-77.02,-59.32,-98.5,-100,-38.1,-85.94,ingroup,34.84
1,24,31.32,18.5,18.5,-60.76,-59.24,-60.76,22.77333333,-60.25333333,self,9.81
1,22,26.92,21.54,38.46,-33.84,-27.3,-25.38,28.97333333,-28.84,ingroup,23.25
1,33,20.52,34.84,44.64,-69.5,-80.42,-100,33.33333333,-83.30666667,neutral,31.07
1,64,58.92,59.32,59.7,0.2,-33.2,-34.36,59.31333333,-22.45333333,neutral,70.31
1,22,-60.76,-62.26,-62.64,-100,-100,-100,-61.88666667,-100,experiencer,74.72
1,37,86.82,78.54,78.16,52.16,-72.12,-79.28,81.17333333,-33.08,ingroup,100
1,21,16.6,22.64,-21.88,23.4,5.66,-80,5.786666667,-16.98,self,12.08
1,25,73.96,100,92.46,-61.14,-75.84,-79.62,88.80666667,-72.2,outgroup,96.23
1,22,100,100,100,-87.54,-97.36,-87.92,100,-90.94,experiencer,100
1,27,6.04,6.8,6.8,-62.26,-75.1,-76.98,6.546666667,-71.44666667,neutral,33.96
1,66,51.32,46.04,49.06,40.38,-35.48,-89.82,48.80666667,-28.30666667,ingroup,99.25
1,23,43.4,36.6,38.86,-19.24,-20.38,-68.68,39.62,-36.1,neutral,81.89
1,31,36.98,55.84,73.96,-49.44,-27.16,-86.04,55.59333333,-54.21333333,ingroup,75.09
1,31,8.68,31.7,0,-23.02,-60,-7.92,13.46,-30.31333333,outgroup,61.13
1,33,25.66,26.42,30.56,-32.08,-31.7,-32.08,27.54666667,-31.95333333,outgroup,96.6
1,21,26.62,14.94,-31.82,-66.24,-53.24,-74.02,3.246666667,-64.5,self,21.43
1,34,-50.94,-33.96,-85.66,-98.12,-99.62,-97.36,-56.85333333,-98.36666667,experiencer,69.43
1,29,7.92,8.3,7.54,-84.52,-85.28,-84.9,7.92,-84.9,outgroup,77.74
1,27,55.94,59.7,57.44,-33.34,-35.22,-43.12,57.69333333,-37.22666667,neutral,55.18
1,21,20,0,0,-100,-99.24,-99.24,6.666666667,-99.49333333,neutral,31.7
1,22,46.52,20.52,15.26,11.12,-33.7,-50.28,27.43333333,-24.28666667,outgroup,100
1,59,-54.34,-71.7,-83.02,-100,-100,-98.12,-69.68666667,-99.37333333,self,20.75
1,21,-0.76,-2.26,-100,-70.18,-66.42,-100,-34.34,-78.86666667,neutral,38.49
1,33,62.64,61.14,58.86,20.76,14.34,2.26,60.88,12.45333333,self,20.38
1,67,77.74,77.74,76.98,-96.98,-96.6,-95.1,77.48666667,-96.22666667,outgroup,40.38
1,25,-13.96,-9.06,27.92,-29.44,-52.84,-67.16,1.633333333,-49.81333333,experiencer,-1.51
1,23,3.58,5.84,3.96,-60.46,-100,-100,4.46,-86.82,experiencer,11.11
1,29,100,100,100,-100,-100,-100,100,-100,outgroup,61.58
1,24,18.12,18.12,-19.62,-20,-19.62,-50.18,5.54,-29.93333333,neutral,58.87
1,23,40.38,36.6,21.14,46.42,-35.48,-36.22,32.70666667,-8.426666667,self,43.4
1,66,-29.06,-24.9,-72.46,-100,-100,-100,-42.14,-100,neutral,3.02
1,50,-2.44,-22.78,-28.82,-8.1,-40.12,-52.54,-18.01333333,-33.58666667,outgroup,51.41
1,52,39.36,22.04,20.16,1.32,-43.12,-45.76,27.18666667,-29.18666667,experiencer,20.9
1,37,57.74,54.34,32.08,20.38,-36.22,-62.26,48.05333333,-26.03333333,outgroup,81.51
1,32,60.38,62.26,65.66,-48.68,-40.38,-42.64,62.76666667,-43.9,neutral,36.98
1,38,45.38,47.3,33.08,-34.22,-87.3,-100,41.92,-73.84,self,61.44
1,34,8.86,2.82,43.88,-35.22,-35.22,-100,18.52,-56.81333333,self,80.79
1,24,100,100,100,-100,-100,-100,100,-100,ingroup,41.24
1,42,43.02,41.88,43.02,-100,-100,-100,42.64,-100,outgroup,80.38
1,36,21.66,24.3,22.78,-16,-14.5,-16.76,22.91333333,-15.75333333,ingroup,31.07
1,24,50.56,49.06,48.68,-49.44,-83.02,-100,49.43333333,-77.48666667,neutral,60
1,38,66.42,45.66,59.62,-8.3,-5.66,-10.56,57.23333333,-8.173333333,ingroup,98.87
1,30,31.32,40.38,29.44,-3.02,-34.72,-45.66,33.71333333,-27.8,experiencer,43.4
1,38,-25.8,6.96,-60.08,-89.84,-96.24,-96.98,-26.30666667,-94.35333333,neutral,14.88
1,30,-9.6,-35.22,-54.04,-100,-100,-100,-32.95333333,-100,outgroup,100
1,28,-35.1,-38.12,-35.84,-100,-100,-100,-36.35333333,-100,neutral,2.64
1,30,80.1,72.78,88.14,-81.12,-71.94,-85.52,80.34,-79.52666667,ingroup,60.72
1,30,40.38,35.1,20,19.62,-47.54,-53.58,31.82666667,-27.16666667,neutral,19.62
1,44,60,60,59.62,-99.62,-100,-100,59.87333333,-99.87333333,self,21.13
1,31,43.78,52.08,34.72,-83.78,-98.5,-90.18,43.52666667,-90.82,neutral,43.02
1,23,44.26,43.5,45.76,-57.82,-71,-58.56,44.50666667,-62.46,neutral,62.71
1,27,47.16,40.38,31.7,-100,-100,-100,39.74666667,-100,ingroup,41.13
1,28,29.24,18.84,-47.7,-94.62,-90.76,-89.62,0.126666667,-91.66666667,self,61.81
1,37,43.4,41.5,30.18,-85.66,-71.32,-100,38.36,-85.66,neutral,61.89
1,34,63.78,59.24,52.08,-48.68,-54.34,-61.88,58.36666667,-54.96666667,neutral,42.26
1,39,48.78,69.5,20.16,-10.36,-28.06,-69.12,46.14666667,-35.84666667,experiencer,-62.34
1,27,33.2,29.06,35.1,-60,-63.02,-63.02,32.45333333,-62.01333333,outgroup,80.75
1,27,-24.9,-23.4,-24.52,-95.1,-94.34,-94.72,-24.27333333,-94.72,ingroup,23.77
1,25,-30.56,-10.94,-80,-95.48,-73.2,-100,-40.5,-89.56,self,27.92
1,24,49.16,66.86,50.66,-100,-100,-100,55.56,-100,experiencer,41.24
1,24,100,53.58,55.1,100,-100,-61.88,69.56,-20.62666667,neutral,20.38
1,34,26.18,39.74,30.7,-37.48,-45.76,-41.62,32.20666667,-41.62,self,80.41
